က	k a̰
ဘုန်းကြီး	pʰ ó ʊ ɴ d͡ʑ í
ဘုန်းကြီးကျောင်း	pʰ ó ʊ ɴ d͡ʑ í t͡ɕ á ʊ ɴ
ဘုန်းကြီးပျံ	pʰ ó ʊ ɴ d͡ʑ í b j à ɴ
ဘုန်းဘုန်း	pʰ ó ʊ ɴ pʰ ó ʊ ɴ
ဘုမ္မစိုး	b ò ʊ ɴ m ə z ó
ဘုရင်	b a̰ j ɪ̀ ɴ
ဘုရင်ခံ	b ə j ɪ̀ ɴ ɡ à ɴ
ဘုရင်မ	b a̰ j ɪ̀ ɴ m a̰
ဘုရား	pʰ ə j á
ဘုရားကိုးဆူ	b ṵ j á k ó sʰ ù
ဘုရားကျောင်း	pʰ ə j á d͡ʑ á ʊ ɴ
ဘုရားရှိခိုးကျောင်း	pʰ ə j á ʃ ḭ kʰ ó d͡ʑ á ʊ ɴ
ဘုရားလောင်း	pʰ ə j á l á ʊ ɴ
ဘုရားအလောင်း	pʰ ə j á ʔ ə l á ʊ ɴ
ဘုံကျောင်း	b ò ʊ ɴ d͡ʑ á ʊ ɴ
ဘုံပိုင်	b ò ʊ ɴ b à ɪ ɴ
ဘူ	b ù
ဘူဂေးရီးယား	b ù ɡ é ɹ í j á
ဘူတန်	b ù t à ɴ
ဘူတာရုံ	b ù d à j ò ʊ ɴ
ဘူမိဗေဒ	b ù m ḭ b è d a̰
ဘူမိရူပဗေဒ	b ù m ḭ j ù p a̰ b è d a̰
ဘူရွန်ဒီ	b ù ɹ ʊ̀ ɴ d ì
ဘူး	b ú
ဘူးသီး	b ú θ í
ဘူးသီးတောင်	b ú ð í d à ʊ ɴ
ဘော	b ɔ́
ဘောက်ဆူး	b a ʊ ʔ sʰ ú
ဘောဂဗေဒ	b ɔ́ ɡ a̰ t a̰ b è d a̰
ဘောင်းဘီ	b á ʊ ɴ b ì
ဘောပင်	b ɔ́ p ɪ̀ ɴ
ဘောလုံး	b ɔ́ l ó ʊ ɴ
ဘော့ဆွာနာ	b ɔ̰ sʰ w à n à
ဘော်ဒါကြေး	b ɔ̀ d à t͡ɕ é
ဘော်လီဘော	b ɔ̀ l ì b ɔ́
ဘေ့စ်ဘော	b ḛ s b ɔ́
ဘေး	b é
ဘေးဆိုး	b é z ó
ဘေးဆီးရန်ကာ	b é z í j à ɴ ɡ à
ဘဲ	b ɛ́
ဘဲ	b ɛ́
ဘဲ	b ɛ́
ဘဲလေး	b ɛ́ l é
ဘွားဘွား	pʰ w á pʰ w á
ဘွဲ့	b w ɛ̰
မ	m ə
မ	m a̰
မ	m ə
မကန်း	m ə ɡ á ɴ
မကိုဋ်	m ə ɡ a ɪ ʔ
မကုဋ	m ə k ṵ t a̰
မက္ကဆီကို	m ɛ ʔ k ə sʰ ì k ò
မက်	m ɛ ʔ
မက်စီဒိုးနီးယား	m ɛ ʔ s ì d ó n í j á
မက်မွန်	m ɛ ʔ m ʊ̀ ɴ
မကြာမတင်	m ə t͡ɕ à m ə t ɪ̀ ɴ
မကွေး	m ə ɡ w é
မဂ္ဂင်ရှစ်ပါး	m ɛ ʔ ɡ ɪ̀ ɴ ʃ ɪ ʔ b á
မဂ္ဂဇင်း	m ɛ ʔ ɡ a̰ z ɪ̀ ɴ
မင်	m̥ ɪ̀ ɴ
မင်း	m ɪ́ ɴ
မင်းကြီး	m ɪ́ ɴ d͡ʑ í
မင်းကွတ်	m ɪ́ ɴ ɡ ʊ ʔ
မင်းဘူး	m ɪ́ ɴ b ú
မင်းမြောက်တန်ဆာ	m ɪ́ ɴ m j a ʊ ʔ d ə z à
မင်းသမီး	m ɪ́ ɴ ð ə m í
မင်းသား	m ɪ́ ɴ ð á
မင်္ဂလသုတ်	m ɪ̀ ɴ ɡ ə l a̰ θ o ʊ ʔ
မင်္ဂလာ	m ɪ̀ ɴ ɡ ə l à
မင်္ဂလာဆောင်	m ɪ̀ ɴ ɡ ə l à sʰ à ʊ ɴ
မင်္ဂလာပါ	m ɪ̀ ɴ ɡ ə l à b à
မစင်	m a̰ s ɪ̀ ɴ
မဆလာ	m a̰ sʰ ə l à
မဇ္ဈဒေသ	m ɪ ʔ z a̰ d è θ a̰
မဉ္ဇူ	m ɪ̀ ɴ z ù
မည်	m j ì
မည်	m j ì
မည်	m j ì
မည်သည်	m ì ð ì
မည်သူ	m ì ð ù
မည်း	m ɛ́
မဏိ	m ə n ḭ
မဏိပူရ	m ə n ḭ p ù j a̰
မဏိမေခလာ	m ə n ḭ m è kʰ ə l à
မဏ္ဍပ်	m á ɴ d a ʔ
မဏ္ဍိုင်	m à ɴ d à ɪ ɴ
မတော်တဆ	m ə t ɔ̀ t ə sʰ a̰
မတော်တဆမှု	m ə t ɔ̀ t ə sʰ a̰ m̥ ṵ
မတ်	m a ʔ
မတ်	m a ʔ
မတ်ခွက်	m a ʔ kʰ w ɛ ʔ
မတ်ပဲ	m a ʔ p ɛ́
မတ်မတ်	m a ʔ m a ʔ
မဒါဂတ်စကား	m a̰ d à ɡ a ʔ s ə k á
မနက်	m ə n ɛ ʔ
မနက်ဖြန်	m ə n ɛ ʔ pʰ j à ɴ
မနုပ်တာနီ	m ə n o ʊ ʔ t à n ì
မနုဿ	m a̰ n o ʊ ʔ θ à
မနုဿဗေဒ	m ə n o ʊ ʔ θ a̰ b è d a̰
မနုဿီဟ	m ə n o ʊ ʔ θ ì h a̰
မနော	m ə n ɔ́
မနောကံ	m ə n ɔ́ ɡ à ɴ
မနေ့က	m ə n ḛ ɡ a̰
မန္တန်	m à ɴ d à ɴ
မန္တလေး	m à ɴ d ə l é
မန်ကျည်း	m ə d͡ʑ í
မန်နေဂျာ	m à ɴ n è d͡ʑ à
မန်း	m á ɴ
မယား	m ə j á
မယ်	m ɛ̀
မယ်ဇလီ	m ɛ̀ z ə l ì
မယ်တော်	m ɛ̀ d ɔ̀
မယ်သီတာ	m ɛ̀ θ ì d à
မယ်သီလ	m ɛ̀ ð ì l a̰
မရဏ	m ə ɹ ə n a̰
မရန်း	m ə j á ɴ
မရမာ	m ə ɹ ə m à
မရမာကြီး	m ə ɹ ə m à d͡ʑ í
မရီး	m ə j í
မလိုင်	m a̰ l à ɪ ɴ
မလုပ်တာနီ	m ə l o ʊ ʔ t à n ì
မလေး	m ə l é
မလေးရှား	m ə l é ʃ á
မသာ	m ə θ à
မဟာ	m a̰ h à
မဟာကဿပ	m ə h à k a ʔ θ ə p a̰
မဟာဂီတ	m ə h à ɡ ì t a̰
မဟာပညာဗလ	m ə h à p j ɪ̀ ɴ ɲ à b ə l a̰
မဟာပိန္နဲ	m ə h à p è ɪ ɴ n ɛ́
မဟာဘာရတ	m ə h à b à ɹ ə t a̰
မဟာဘွဲ့	m ə h à b w ɛ̰
မဟာမိတ်	m ə h à m e ɪ ʔ
မဟာမောဂ္ဂလာန်	m ə h à m a ʊ ʔ ɡ ə l à ɴ
မဟာယာန	m ə h à j à n a̰
မဟာရဋ္ဌ	m ə h à j ə tʰ a̰
မဟာလတာ	m ə h à l ə t à
မဟာဝင်	m ə h à w ɪ̀ ɴ
မဟာဝိဇ္ဇာဘွဲ့	m ə h à w e ɪ ʔ z à b w ɛ̰
မဟာသာဝက	m ə h à θ à w ə k a̰
မဟာသိပ္ပံဘွဲ့	m ə h à θ e ɪ ʔ p à ɴ b w ɛ̰
မဟေ	m ə h è
မဟေသီ	m ə h è θ ì
မာ	m à
မာကျောက်	m à t͡ɕ a ʊ ʔ
မာတိကာ	m à t ḭ k à
မာန်	m à ɴ
မာန်အောင်	m à n ʔ à ʊ ɴ
မာရ်	m à
မာရ်နတ်	m à n a ʔ
မာလကာ	m à l ə k à
မာလကာသီး	m à l ə k à θ í
မာလဝီ	m à l a̰ w ì
မာလာ	m à l à
မာလာဟင်း	m à l à h ɪ́ ɴ
မာလီ	m à l ì
မိ	m ḭ
မိကျောင်း	m ḭ d͡ʑ á ʊ ɴ
မိခင်	m ḭ ɡ ɪ̀ ɴ
မိငယ်	m ḭ ŋ ɛ̀
မိတ္တူ	m e ɪ ʔ t ù
မိတ္ထီလာ	m e ɪ ʔ tʰ ì l à
မိတ်	m e ɪ ʔ
မိတ်ကပ်	m e ɪ ʔ k a ʔ
မိတ်ဆွေ	m e ɪ ʔ sʰ w è
မိထွေး	m ḭ d w é
မိနစ်	m ḭ n ɪ ʔ
မိန်းကလေး	m é ɪ ɴ ɡ ə l é
မိန်းမ	m é ɪ ɴ m a̰
မိန်းမလျာ	m é ɪ ɴ m ə ʃ à
မိဖုရား	m ḭ b ə j á
မိဘ	m ḭ b a̰
မိဘမဲ့	m ḭ b a̰ m ɛ̰
မိသားစု	m ḭ ð á z ṵ
မိုက်	m a ɪ ʔ
မိုက်ကယ်	m a ɪ ʔ k ɛ̀
မိုင်	m à ɪ ɴ
မိုင်လို	m à ɪ ɴ l ò
မိုင်း	m á ɪ ɴ
မိုဇမ်ဘစ်	m ò z à ɴ b ɪ ʔ
မိုတယ်	m ò t ɛ̀
မိုနာကို	m ò n à k ò
မိုဘိုင်းလ်ဖုန်း	m ò b á ɪ ɴ pʰ ó ʊ ɴ
မိုး	m ó
မိုးကာအင်္ကျီ	m ó ɡ à ʔ ɪ̀ ɴ d͡ʑ ì
မိုးကုတ်	m ó k o ʊ ʔ
မိုးကုပ်စက်ဝိုင်း	m ó ɡ o ʊ ʔ s ɛ ʔ w á ɪ ɴ
မိုးကြိုး	m ó d͡ʑ ó
မိုးခေါ်	m ó kʰ ɔ̀
မိုးရာသီ	m ó j à ð ì
မီတာ	m ì t à
မီနူး	m ì n ú
မီး	m í
မီးခတ်	m í ɡ a ʔ
မီးခတ်	m í kʰ a ʔ
မီးခေါင်း	m í ɡ á ʊ ɴ
မီးခြစ်	m í d͡ʑ ɪ ʔ
မီးခွက်	m í ɡ w ɛ ʔ
မီးတောင်	m í d à ʊ ɴ
မီးပန်း	m í b á ɴ
မီးပူ	m í b ù
မီးပြတိုက်	m í b j a̰ d a ɪ ʔ
မီးပွား	m í b w á
မီးပွိုင့်	m í p w a̰ ɪ ɴ
မီးဖို	m í pʰ ò
မီးဖို	m í b ò
မီးဖိုချောင်	m í b ò d͡ʑ à ʊ ɴ
မီးယပ်	m í j a ʔ
မီးယပ်ရောဂါ	m í j a ʔ j ɔ́ ɡ à
မီးရထား	m í j ə tʰ á
မီးရထားတွဲ	m í j ə tʰ á d w ɛ́
မီးလင်းဖို	m í l ɪ́ ɴ b ò
မီးသင်္ဘော	m í θ ɪ̀ ɴ b ɔ́
မီးသီး	m í θ í
မီးသုံးပါး	m í θ ó ʊ ɴ b á
မီးသွေး	m í ð w é
မီးအိမ်	m í ʔ è ɪ ɴ
မုခ်	m o ʊ ʔ
မုစလိန္ဒ	m ṵ s ə l è ɪ ɴ d a̰
မုဆိုး	m o ʊ ʔ sʰ ò
မုဆိုးဖို	m ṵ sʰ ó b ò
မုဆိုးမ	m ṵ sʰ ó m a̰
မုတ္ထမ	m o ʊ ʔ t ə m a̰
မုတ်ဆိတ်	m o ʊ ʔ sʰ e ɪ ʔ
မုဒိမ်း	m ṵ d é ɪ ɴ
မုဒိမ်း	m ə d é ɪ ɴ
မုဒ္ဓဇ	m ù d d ə z a̰
မုဒြာ	m ṵ d ɹ à
မုနိ	m ṵ n ḭ
မုန့်	m o̰ ʊ ɴ
မုန့်ကျွဲသည်း	m o̰ ʊ ɴ t͡ɕ w ɛ́ ð í
မုန့်ကွမ်းယာ	m o̰ ʊ ɴ k ʊ́ ɴ j à
မုန့်ညက်	m o̰ ʊ ɴ ɲ ɛ ʔ
မုန့်တီ	m o̰ ʊ ɴ t ì
မုန့်လက်ဆောင်း	m o̰ ʊ ɴ l ɛ ʔ sʰ á ʊ ɴ
မုန့်လုံးရေပေါ်	m o̰ ʊ ɴ l ó ʊ ɴ j è b ɔ̀
မုန့်ဟင်းခါး	m o̰ ʊ ɴ h ɪ́ ɴ ɡ á
မုန့်ဦးနှောက်	m o̰ ʊ ɴ ʔ ó ʊ ɴ ð í
မုန်ညင်း	m ò ʊ ɴ ɲ ɪ́ ɴ
မုန်ညင်းဆီ	m ò ʊ ɴ ɲ ɪ́ ɴ sʰ ì
မုန်ညင်းဖြူ	m ò ʊ ɴ ɲ ɪ́ ɴ pʰ j ù
မုန်ညှင်းဖြူ	m ò ʊ ɴ ɲ̊ ɪ́ ɴ b j ù
မုန်တိုင်း	m ò ʊ ɴ d á ɪ ɴ
မုန်လာဥ	m ò ʊ ɴ l à ʔ ṵ
မုန်လာဥနီ	m ò ʊ ɴ l à ʔ ṵ n ì
မုန်လာဥဝါ	m ò ʊ ɴ l à ʔ ṵ w à
မုန်း	m ó ʊ ɴ
မုသား	m ṵ ð á
မုံ	m ò ʊ ɴ
မုံရွာ	m ò ʊ ɴ j w à
မူလ	m ù l a̰
မူလတန်း	m ù l a̰ t á ɴ
မူလီ	m ù l ì
မူး	m ú
မေ	m è
မေဃာလယ	m è ɡ à l ə j a̰
မေတ္တာ	m j ɪ ʔ t à
မေတ္တေယျ	m j ɪ ʔ t è j a̰
မော	m ɔ́
မောက်ချ	m a ʊ ʔ t͡ɕʰ a̰
မောင်	m à ʊ ɴ
မောင်တော	m à ʊ ɴ t ɔ́
မောင်နှမ	m à ʊ ɴ n̥ ə m a̰
မောင်း	m á ʊ ɴ
မောရစ်ရှ	m ɔ́ ɹ ɪ ʔ ʃ a̰
မော်စကို	m ɔ̀ s ə k ò
မော်ဇာ	m ɔ̀ z à
မော်တော်ဆိုင်ကယ်	m ɔ̀ t ɔ̀ sʰ à ɪ ɴ k ɛ̀
မော်ရိုကို	m ɔ̀ ɹ ò k ò
မော်ရီတေးနီးယား	m ɔ̀ ɹ ì t é n í j á
မော်လတာ	m ɔ̀ l ə t à
မော်လဒိုက်	m ɔ̀ l ə d a ɪ ʔ
မော်လမြိုင်	m ɔ̀ l ə m j à ɪ ɴ
မော်လီကျူး	m ɔ̀ l ì t͡ɕ ú
မော်လ်ဒိုဗာ	m ɔ̀ l d ò b à
မေ့	m ḛ
မေး	m é
မေးခိုင်ရောဂါ	m é kʰ à ɪ ɴ j ɔ́ ɡ à
မေးစေ့	m é z ḭ
မဲ	m ɛ́
မဲခေါင်မြစ်	m ɛ́ kʰ à ʊ ɴ m j ɪ ʔ
မဲဆန္ဒ	m ɛ́ sʰ à ɴ d a̰
မဲဆန္ဒနယ်	m ɛ́ sʰ à ɴ d a̰ n ɛ̀
မဲဆန္ဒရှင်	m ɛ́ sʰ à ɴ d a̰ ʃ ɪ̀ ɴ
မဲဆောက်	m ɛ́ sʰ a ʊ ʔ
မဲဇလီ	m ɛ́ z ə l ì
မဲပေး	m ɛ́ p é
မံ	m à ɴ
မံသ	m à ɴ θ a̰
မျက်ခုံး	m j ɛ ʔ kʰ ó ʊ ɴ
မျက်ခွံ	m j ɛ ʔ kʰ ʊ̀ ɴ
မျက်စိ	m j ɛ ʔ s ḭ
မျက်တောင်	m j ɛ ʔ t à ʊ ɴ
မျက်နှာ	m j ɛ ʔ n̥ à
မျက်နှာကြက်	m j ɛ ʔ n̥ à d͡ʑ ɛ ʔ
မျက်နှာဖုံး	m j ɛ ʔ n̥ ə pʰ ó ʊ ɴ
မျက်နှာသုတ်ပဝါ	m j ɛ ʔ n̥ à θ o ʊ ʔ p a̰ w à
မျက်မှန်	m j ɛ ʔ m̥ à ɴ
မျက်ရည်	m j ɛ ʔ j è
မျက်လွှာ	m j ɛ ʔ l̥ w à
မျက်လှည့်	m j ɛ ʔ l̥ ɛ̰
မျည်းတံ	m j í d à ɴ
များ	m j á
များများ	m j á m j á
မျို	m j ò
မျိုး	m j ó
မျိုးချစ်စိတ်	m j ó t͡ɕʰ ɪ ʔ s e ɪ ʔ
မျိုးစိတ်	m j ó z e ɪ ʔ
မျိုးစု	m j ó z ṵ
မျိုးဆက်	m j ó z ɛ ʔ
မျော	m j ɔ́
မျောက်	m j a ʊ ʔ
မျောက်ချော	m j a ʊ ʔ t͡ɕʰ ɔ́
မျှင်	m̥ j ɪ̀ ɴ
မျှစ်	m̥ j ɪ ʔ
မျှို့	m̥ j o̰
မျှော်	m̥ j ɔ̀
မျှော်လင့်	m̥ j ɔ̀ l ɪ̰ ɴ
မျှော်လင့်ချက်	m̥ j ɔ̀ l ɪ̰ ɴ d͡ʑ ɛ ʔ
မြ	m j a̰
မြက်	m j ɛ ʔ
မြက်ခင်း	m j ɛ ʔ kʰ ɪ́ ɴ
မြက်ခုတ်ဓား	m j ɛ ʔ kʰ o ʊ ʔ d á
မြက်ခြောက်	m j ɛ ʔ t͡ɕʰ a ʊ ʔ
မြင့်	m j ɪ̰ ɴ
မြင်	m j ɪ̀ ɴ
မြင်း	m j ɪ́ ɴ
မြင်းကလေး	m j ɪ́ ɴ ɡ ə l é
မြင်းကျား	m j ɪ́ ɴ d͡ʑ á
မြင်းခြံ	m j ɪ́ ɴ d͡ʑ à ɴ
မြင်းခွာ	m j ɪ́ ɴ kʰ w à
မြင်းခွာရွက်သုပ်	m j ɪ́ ɴ kʰ w à j w ɛ ʔ θ o ʊ ʔ
မြင်းစားဂျုံ	m j ɪ́ ɴ z á d͡ʑ ò ʊ ɴ
မြင်းဆေး	m j ɪ́ ɴ z é
မြင်းမ	m j ɪ́ ɴ m a̰
မြင်းမကလေး	m j ɪ́ ɴ m a̰ ɡ ə l é
မြင်းမိုရ်	m j ɪ́ ɴ m ò
မြင်းလှည်း	m j ɪ́ ɴ l̥ ɛ́
မြင်းသံခွာ	m j ɪ́ ɴ θ à ɴ kʰ w à
မြစ်	m j ɪ ʔ
မြစ်ကြီးနား	m j ɪ ʔ t͡ɕ í n á
မြည်း	m j í
မြန်	m j à ɴ
မြန်မာ	m j à ɴ m à
မြန်မာ့	m j à ɴ m a̰
မြန်မြန်	m j à ɴ m j à ɴ
မြဝတီ	m j a̰ w ə d ì
မြား	m̥ j á
မြိတ်	b e ɪ ʔ
မြို့	m j o̰
မြို့စား	m j o̰ z á
မြို့တော်	m j o̰ d ɔ̀
မြို့တော်ဝန်	m j o̰ d ɔ̀ w ʊ̀ ɴ
မြို့နယ်	m j o̰ n ɛ̀
မြီ	m j ì
မြီးရှေ	m j í ʃ è
မြုံ	m j ò ʊ ɴ
မြူ	m j ù
မြူစွမ်	m j ù s w à ɴ
မြေ	m j è
မြေခွေး	m j è ɡ w é
မြေပုံ	m j è b ò ʊ ɴ
မြေပုံသီး	m j è b ò ʊ ɴ ð í
မြေပဲ	m j è b ɛ́
မြေပြန့်	m j è b j a̰ ɴ
မြေဖြူခဲ	m j è b j ù ɡ ɛ́
မြေအောက်	m j è ʔ a ʊ ʔ
မြေအောက်မီးရထား	m j è ʔ a ʊ ʔ m í j ə tʰ á
မြေဩဇာ	m j è ʔ ɔ́ z à
မြောက်	m j a ʊ ʔ
မြောက်ကိုရီးယား	m j a ʊ ʔ k ò ɹ í j á
မြောက်‌ဦး	m j a ʊ ʔ ‌ ʔ ú
မြောင်း	m j á ʊ ɴ
မြေး	m j é
မြေးမ	m j é m a̰
မြွက်	m j w ɛ ʔ
မြွေ	m w è
မြွေပါ	m w è b à
မြှား	m̥ j á
မြှောက်	m̥ j a ʊ ʔ
မြှောက်ရကိန်း	m̥ j a ʊ ʔ j a̰ k é ɪ ɴ
မွတ်	m ʊ ʔ
မွတ်စလင်	m ʊ ʔ s ə l ɪ̀ ɴ
မွန်	m ʊ̀ ɴ
မွန်	m ʊ̀ ɴ
မွန်ဂိုးလီးယား	m ʊ̀ ɴ ɡ ó l í j á
မွန်တီနီဂရိုး	m ʊ̀ ɴ t ì n ì ɡ ə ɹ ó
မွာချီး	m w à t͡ɕʰ í
မွေး	m w é
မွေးနေ့	m w é n ḛ
မွှား	m̥ w á
မွှေး	m̥ w é
မှ	m̥ a̰
မှတ်ကျောက်	m̥ a ʔ t͡ɕ a ʊ ʔ
မှတ်စု	m̥ a ʔ s ṵ
မှတ်စုစာအုပ်	m̥ a ʔ s ṵ s à ʔ o ʊ ʔ
မှတ်ဉာဏ်	m̥ a ʔ ɲ à n
မှတ်မိ	m̥ a ʔ m ḭ
မှန်	m̥ à ɴ
မှန်စီရွှေချ	m̥ à ɴ z ì ʃ w è t͡ɕʰ a̰
မှန်ပါ့ဘုရား	m̥ à ɴ b a̰ pʰ ə j á
မှန်ပြောင်း	m̥ à ɴ b j á ʊ ɴ
မှန်ဘီလူး	m̥ à ɴ b ə l ú
မှန်မှန်	m̥ à ɴ m̥ à ɴ
မှာ	m̥ à
မှား	m̥ á
မှို	m̥ ò
မှု	m̥ ṵ
မှုတ်	m̥ o ʊ ʔ
မှုန့်	m̥ o̰ ʊ ɴ
မှုန်	m̥ ò ʊ ɴ
မှဲ့	m̥ ɛ̰
ယခု	j ə kʰ ṵ
ယင်ကောင်	j ɪ̀ ɴ ɡ à ʊ ɴ
ယင်းမာ	j ɪ́ ɴ m à
ယစ်ထုတ်	j ɪ ʔ tʰ o ʊ ʔ
ယဉ်	j ɪ̀ ɴ
ယဉ်ကျေးမှု	j ɪ̀ ɴ t͡ɕ é m̥ ṵ
ယတြာ	j ə d ə j à
ယနေ့	j a̰ n ḛ
ယန္တရား	j à ɴ d ə j á
ယပင့်	j a̰ p ɪ̰ ɴ
ယမနေ	j ə m ə n è
ယမမင်း	j ə m a̰ m ɪ́ ɴ
ယမ်း	j á ɴ
ယမ်းတောင့်	j á ɴ d a̰ ʊ ɴ
ယမ်းမှုန့်	j á ɴ m̥ o̰ ʊ ɴ
ယဝဒီပ	j a̰ w a̰ d ì p a̰
ယသောဓရာ	j a̰ θ ɔ́ d ə j à
ယာဉ်	j ɪ̀ ɴ
ယာဉ်မောင်း	j ɪ̀ ɴ m à ʊ ɴ
ယာဉ်ရပ်	j ɪ̀ ɴ j a ʔ
ယာဘ	j à b a̰
ယာမာ	j à m à
ယာယီ	j à j ì
ယို	j ò
ယိုးဒယား	j ó d ə j á
ယီမင်	j ì m ɪ̀ ɴ
ယုဂ်	j o ʊ ʔ
ယုဇန	j ṵ z a̰ n a̰
ယုတ္တိ	j o ʊ ʔ t ḭ
ယုတ္တိဗေဒ	j o ʊ ʔ t ḭ b è d a̰
ယုန်	j ò ʊ ɴ
ယုံ	j ò ʊ ɴ
ယူ	j ù
ယူကရိန်း	j ù k ə ɹ é ɪ ɴ
ယူဂန်းဒါး	j ù ɡ á ɴ d á
ယူနိုက်တက်ကင်းဒမ်း	j ù n a ɪ ʔ t ɛ ʔ k ɪ́ ɴ d á ɴ
ယူနီယန်	j ù n ì j à ɴ
ယူရို	j ù ɹ ò
ယူရေးရှား	j ù ɹ é ʃ á
ယေရှု	j è ʃ ṵ
ယောက္ခထီး	j a ʊ ʔ kʰ ə tʰ í
ယောက္ခမ	j a ʊ ʔ kʰ ə m a̰
ယောက်	j a ʊ ʔ
ယောက်ဖ	j a ʊ ʔ pʰ a̰
ယောက်မ	j á ʊ ɴ m a̰
ယောက်ျား	j a ʊ ʔ t͡ɕ á
ယောက်ျားလျာ	j a ʊ ʔ k ə ʃ à
ယောဂ	j ɔ́ ɡ ì
ယောဇနာ	j ɔ́ z ə n à
ယောနိ	j ɔ́ n ḭ
ယဲ့ယဲ့	j ɛ̰ j ɛ̰
ယွန်း	j ʊ́ ɴ
ယွန်း	j ʊ́ ɴ
ယွန်းယွန်း	j ʊ́ ɴ j ʊ́ ɴ
ယှဉ်း	ʃ ɪ́ ɴ
ရ	j a̰
ရ	ɹ a̰
ရ	j a̰
ရက်	j ɛ ʔ
ရက်ကန်း	j ɛ ʔ k á ɴ
ရက်ကန်းစင်	j ɛ ʔ k á ɴ z ɪ̀ ɴ
ရက်စွဲ	j ɛ ʔ s w ɛ́
ရက်သတ္တပတ်	j ɛ ʔ θ a ʔ d ə b a ʔ
ရခိုင်	j ə kʰ à ɪ ɴ
ရင်	j ɪ̀ ɴ
ရင်ခံ	j ɪ̀ ɴ kʰ à ɴ
ရင်ထိုးတံဆိပ်	j ɪ̀ ɴ d ó d ə z e ɪ ʔ
ရင်ပတ်	j ɪ̀ ɴ b a ʔ
ရင်ပြင်	j ɪ̀ ɴ b j ɪ̀ ɴ
ရင်ဘတ်	j ɪ̀ ɴ b a ʔ
ရင်းရဲ	j ɪ́ ɴ j ɛ́
ရည်	j ì
ရည်းစား	j í z á
ရတနာ	j ɛ̀ d ə n à
ရတနာပုံ	j ɛ̀ d ə n à b ò ʊ ɴ
ရတနာပူရ	j ɛ̀ d ə n à p ù ɹ a̰
ရတနာသုံးပါး	j ɛ̀ d ə n à θ ó ʊ ɴ b á
ရတီ	j ə t ì
ရတု	j a̰ t ṵ
ရထား	j ə tʰ á
ရနံ့	j ə n a̰ ɴ
ရန်	j à ɴ
ရန်ကုန်	j à ɴ ɡ ò ʊ ɴ
ရန်ဖြစ်	j à ɴ pʰ j ɪ ʔ
ရန်သူ	j à ɴ ð ù
ရန်သူမျိုးငါးပါး	j à ɴ ð ù m j ó ŋ á b á
ရပါတယ်	j a̰ b à d ɛ̀
ရပ်	j a ʔ
ရပ်ကွက်	j a ʔ k w ɛ ʔ
ရမ္မက်	j ə m ɛ ʔ
ရမ်	j à ɴ
ရမ်းရမ်း	j á ɴ j á ɴ
ရယ်	j ì
ရရစ်	j a̰ j ɪ ʔ
ရဝမ်ဒါ	ɹ ə w à ɴ d à
ရဝိန်	j ə w è ɪ ɴ
ရဝေ	j ə w è
ရသ	j a̰ ð à
ရဟတ်	j ə h a ʔ
ရဟန်း	j ə h á ɴ
ရာ	j à
ရာဂ	j à ɡ a̰
ရာစု	j à z ṵ
ရာစုနှစ်	j à z ṵ n̥ ɪ ʔ
ရာဇ	j à z a̰
ရာဇဂုရု	j à z a̰ ɡ ṵ ɹ ṵ
ရာဇဌာန်	ɹ à z ə tʰ à n
ရာဇဝင်	j à z ə w ɪ̀ ɴ
ရာဇဝတ်ကောင်	j à z ə w ʊ ʔ k à ʊ ɴ
ရာဇာ	j à z à
ရာဇာဓိရာဇဂုရု	j à z a̰ d ḭ j à z a̰ ɡ ṵ ɹ ṵ
ရာဘ	j à b a̰
ရာမ	j à m a̰
ရာဝဏ	ɹ à w ə n a̰
ရာသီ	j à ð ì
ရာသီဥတု	j à ð ì ʔ ṵ d ṵ
ရာဟုလာ	j à h ṵ l à
ရိက္ခါ	j e ɪ ʔ kʰ à
ရိက္ခာ	j e ɪ ʔ kʰ à
ရိတ်	j e ɪ ʔ
ရိတ်သိမ်း	j e ɪ ʔ θ é ɪ ɴ
ရိပ်ရိပ်	j e ɪ ʔ j e ɪ ʔ
ရိုက်	j a ɪ ʔ
ရိုင်ဖယ်	ɹ à ɪ ɴ pʰ ɛ̀
ရိုင်ရိုင်	j à ɪ ɴ j à ɪ ɴ
ရိုဟင်ဂျာ	ɹ ò h ɪ̀ ɴ d͡ʑ à
ရိုး	j ó
ရိုးရာအမည်	j ó j à ʔ ə m j ì
ရိုးရိုး	j ó j ó
ရုက္ခစိုး	j o ʊ ʔ ɡ ə z ó
ရုက္ခဗေဒ	j o ʊ ʔ kʰ a̰ b è d a̰
ရုပ်	j o ʊ ʔ
ရုပ်ကလာပ်	j o ʊ ʔ k ə l a ʔ
ရုပ်တု	j o ʊ ʔ t ṵ
ရုပ်ပုံ	j o ʊ ʔ p ò ʊ ɴ
ရုပ်မြင်သံကြား	j o ʊ ʔ m j ɪ̀ ɴ θ à ɴ d͡ʑ á
ရုပ်ရှင်	j o ʊ ʔ ʃ ɪ̀ ɴ
ရုပ်ရှင်ရုံ	j o ʊ ʔ ʃ ɪ̀ ɴ j ò ʊ ɴ
ရုပ်သေး	j o ʊ ʔ θ é
ရုရု	j ṵ j ṵ
ရုရှား	ɹ ṵ ʃ á
ရုံ	j ò ʊ ɴ
ရုံး	j ó ʊ ɴ
ရုံးပတီ	j ó ʊ ɴ b ə t ì
