־אַטש	a t͡ʃ
חנוכּה	χ a n ə k ə
חניפֿה	χ n ɪ f ə
חניפֿה	χ ə n ɪ f ə
חניפֿהניק	χ n i f ə n ɪ k
חניפֿהניק	χ ə n ɪ f ə n ɪ k
חנפֿענען	χ a n f ə n ə n
חס־ושלום	χ a s v ə ʃ ɔ ɫ ə m
חסד	χ e ɪ̯ s ə d
חסד	χ ɛ s ə d
חסרדיק	χ ɔ s ə ʁ d ɪ k
חפֿץ	χ ɛ ɪ̯ f ə t͡s
חצות	χ t͡s ɔ s
חרד	χ ɔ r ɜ d
חרדיש	χ a r ɛ ɪ̯ d ɪ ʃ
חרובֿ	χ u ʁ ə v
חרובֿ	χ uː ʁ ə v
חרובֿ	χ ɔ ʁ ə v
חרוסת	χ a ʁ ɔ ɪ̯ s ə s
חרטה	χ a ʁ ɔ t ə
חריף	χ a r ə f
חריף	χ aː r ə f
חריפֿות	χ a r ɪ f ə s
חריפֿות	χ r ɪ f ə s
חריפֿותדיק	χ a r ɪ f ə s d ɪ k
חריפֿותדיק	χ r ɪ f ə s d ɪ k
חרפּה	x a ʀ p ɛ
חשבון	χ ɛ ʃ b n̩
חשבונות	χ ɛ ʒ b ɔ ɪ n ə s
חשבונען	χ ɛ ʃ b ɜ n ɜ n
חשד	x ʃ a d
חשובֿ	χ u ʃ ə v
חשובֿ	χ ɔ ʃ ə v
חשוון	χ ɛ ʃ v n̩
חשיבֿות	χ ə ʃ ɪ v ə s
חשיבֿות	χ ʃ ɪ v ə s
חשיבֿותדיק	χ ə ʃ ɪ v ə s d ɪ k
חשיבֿותדיק	χ ʃ ɪ v ə s d ɪ k
חתונה	χ a s ə n ə
חתימה	χ s ɪ m ə
חתן	χ uː s n̩
חתן	χ ɔ s n̩
טאַדזשיקיסטאַן	t a d͡ʒ ɪ k ɪ s t a n
טאַטריקע	t a t r ɪ k ə
טאַליע	t a ʎ j ə
טאַמאַרינד	t a m a r i n d
טאַמאַרינד	t a m a r ɪ n d
טאַנטע	t a n t ə
טאַנצן	t a n t͡s n̩
טאַפּיר	t a p ɪ r
טאַץ	t a t͡s
טאַקאָ	t a k ɔ
טאַקסי	t a k s i
טאַקסע	t a k s ə
טאַראַנטולאַ	t a r a n t ʊ l a
טאַרסיער	t a ʁ s ɪ ə ʁ
טאַש	t a ʃ
טאָג	t u ɡ
טאָג	t uː ɡ
טאָג	t ɔ ɡ
טאָג־טעגלעך	t ɔ ɡ t ɛ ɡ ɫ ə χ
טאָוול	t ɔ v l̩
טאָכטער	t ɔ χ t ə ʁ
טאָכטערשאַפֿט	t ɔ χ t ə ʁ ʃ a f t
טאָלמאַטש	t ɔ ɫ m a t͡ʃ
טאָלערירן	t ɔ ɫ ə ʁ ɪ ʁ n̩
טאָמער	t ɔ m ə ʁ
טאָן	t u n
טאָן	t ɔ n
טאָפּ	t ɔ p
טאָפּאָל	t ɔ p ɔ ʎ
טאָרטיִע	t ɔ r t i j ə
טאָרטיִע	t ɔ r t i ə
טאָרנאַדאָ	t ɔ ʁ n a d ɔ
טאהש	t ɔ ʃ
טבֿת	t a ɪ̯ v ə s
טבֿת	t ɛ ɪ̯ v ə s
טהרה	t a a ʁ ə
טהרה	t a ɪ̯ ʁ ə
טהרה	t a ʁ ə
טהרה	t aː ʁ ə
טהרה	t ə h ɔ ʁ ə
טויב	t e ɪ b
טויב	t o ʊ b
טויב	t ɔ ɪ b
טויזנט	t o ʊ̯ z n̩ t
טויזנט	t oː z n̩ t
טויזנט	t u z n̩ t
טויזנט	t ɔ ɪ̯ z n̩ t
טויט	t ɔ ɪ̯ t
טויטנבעט	t ɔ ɪ̯ t n̩ b ɛ t
טויטפֿויגל	t ɔ ɪ̯ t f ɔ ɪ̯ ɡ ɫ̩
טוך	t ʊ χ
טון	t iː n
טון	t u n
טונקל	t ʊ ŋ k l̩
טוץ	t i t͡s
טוץ	t iː t͡s
טוץ	t u t͡s
טוצן	t u t͡s n̩
טורבין	t ʊ r b iː n
טוריסט	t ʊ ʁ ɪ s t
טוריסטן	t ʊ ʁ ɪ s t n̩
טורעם	t ʊ ʁ ə m
טורקיז	t ʊ r k ɪ z
טיגער	t ɪ ɡ ə ʁ
טיטאַניום	t ɪ t a n j ʊ m
טיי	t ɛ ɪ̯
טייטל	t ɛ ɪ̯ t ɫ̩
טייטלבוים	t ɛ ɪ̯ t ɫ̩ b ɔ ɪ̯ m
טייל	t ɛ ɪ̯ ɫ
טיילכל	t a ɪ̯ χ ɫ̩
טיילכל	t e ɪ̯ χ ɫ̩
טיילמאָליק	t a ɪ̯ l m uː l ɪ k
טיילמאָליק	t e ɪ̯ l m ɔ l ɪ k
טיילמאָליק	t ɛ ɪ̯ l m u l ɨ k
טיילמאָליק	t ɛ ɪ̯ l m ɔ l ɪ k
טיילן	t ɛ ɪ̯ ɫ n̩
טימיאַן	t ɪ m j a n
טיסע	t ɪ s ə
טיף	t ɪ f
טיפּ	t ɪ p
טיפּאָגראַפֿיע	t ɪ p ɔ ɡ r a f j ə
טיפּאָגראַפֿיש	t ɪ p ɔ ɡ r a f ɪ ʃ
טיפּיש	t ɪ p ɪ ʃ
טיפּישע	t ɪ p ɪ ʃ ə
טיפּש	t ɪ p ə ʃ
טיש	t ɪ ʃ
טישטעך	t ɪ ʃ t ə χ
טישלערײַ	t ɪ ʃ l ə r a ɪ̯
טכינע	t χ ɪ n ə
טלית	t a l ə s
טלית־קטן	t a l ə s k ɔ t n̩
טעג	t ɛ ɡ
טעגלעך	t ɛ ɡ ɫ ə χ
טעות	t ɔ ə s
טעכטערל	t ɛ χ t ə ʁ ɫ̩
טעכטערלעך	t ɛ χ t ə ʁ ɫ ə χ
טעכנעטיום	t ɛ χ n ɛ t j ʊ m
טעכנעציום	t ɛ χ n ɛ t͡s j ʊ m
טעלור	t ɛ l ʊ ʁ
טעלעוויזאָר	t ɛ ʎ ɛ v ɪ z ɔ ʁ
טעלעפּאָרטירן	t ə l ə p ɔ ʁ t i ʁ n̩
טעלעפֿאָן	t ɛ ʎ ɛ f ɔ n
טעלעפֿאָניר	t ɛ l ɛ f ɔ n ɪ ʁ
טעלעפֿאָנירן	t ɛ l ɛ f ɔ n ɪ ʁ n̩
טעלער	t ɛ ɫ ə ʁ
טענהן	t a n ə n
טענהן	t a ɪ̯ n ə n
טענהן	t aː n ə n
טעניס	t ɛ n ɪ s
טענענבוים	t ɛ n ə n b ɔ ɪ̯ m
טעסען	t ɛ s ə n
טעפּ	t ɛ p
טעפּל	t ɛ p ɫ̩
טעפּעך	t ɛ p ə χ
טעקע	t ɛ k ə
טערמין	t ɛ r m iː n
טערמין	t ɛ r m ɪ n
טערק	t ɛ ʁ k
טראַנס־	t ʁ a n s
טראַנסמאַן	t ʁ a n s m a n
טראַנסמיניק	t ʁ a n s m ɪ n ɪ k
טראַנספֿאָביע	t ʁ a n s f ɔ b j ə
טראַנספֿאָביש	t ʁ a n s f ɔ b ɪ ʃ
טראַנספֿרוי	t ʁ a n s f ʁ ɔ ɪ̯
טראָטשינעס	t r ɔ t͡ʃ ɪ n ə s
טראָן	t ʁ ɔ n
טראָפּן	t r ɔ p m̩
טראָפּן	t r ɔ p n̩
טרויבנזאַפֿט	t ʁ ɔ ɪ̯ b n̩ z a f t
טרוים	t ʁ e ɪ̯ m
טרוים	t ʁ ɔ ɪ̯ m
טרויעריק	t ʁ ɔ ɪ̯ ə ʁ ɪ k
טרוסקאַפֿקע	t ʁ ʊ s k a f k ə
טרופֿל	t r ʊ f ɫ̩
טרופֿליע	t r ʊ f ʎ ə
טרוקן	t ʁ ʊ k n̩
טריוויע	t r iː v j ə
טריוויע	t r iː v ɪ j ə
טריומוויראַט	t r j ʊ m v ɪ r a t
טריומף	t ʁ j ʊ m f
טריומף	t ʁ ɪ ʊ m f
טריטווײַז	t r ɪ t v a ɪ̯ z
טרייף	t ʁ a ɪ̯ f
טרייף	t ʁ ɛ ɪ̯ f
טרינק	t ʁ ɪ ŋ k
טרינקגעלט	t ʁ ɪ ŋ k ɡ ɛ ɫ t
טרינקט	t ʁ ɪ ŋ k t
טרינקען	t ʁ ɪ ŋ k ə n
טריפֿל	t r ɪ f ɫ̩
טריפֿלעך	t r ɪ f ɫ ə χ
טריפֿן	t r a ɪ̯ f n̩
טריפֿן	t r i f n̩
טריפֿן	t r iː f n̩
טריפֿן	t r ɛ ɪ̯ f n̩
טריפֿן	t r ɪ f n̩
טרענקען	t ʁ ɛ n k ə n
טרעפּ	t ʁ ɛ p
טרעפּל	t ʁ ɛ p ɫ
טשאַד	t͡ʃ a d
טשאַדען	t͡ʃ a d ə n
טשאַטע	t͡ʃ a t ə
טשאַטעס	t͡ʃ a t ə s
טשאָלנט	t͡ʃ u ɫ ə n t
טשאָלנט	t͡ʃ uː ɫ ə n t
טשאָלנט	t͡ʃ ɔ ɫ ə n t
טשוואָק	t͡ʃ v ɔ k
טשיזשיק	t͡ʃ ɪ ʒ ɪ k
טשיפּל	t ʃ ɪ p ɫ̩
טשיפּקעלע	t ʃ ɪ p k ə ɫ ə
טשירקון	t͡ʃ ɪ ʁ k ʊ n
טשעטשניע	t͡ʃ ɛ t͡ʃ n j ə
טשעטשניע	t͡ʃ ɛ t͡ʃ ɲ ə
טשעטשניער	t͡ʃ ɛ t͡ʃ n j ə r
טשעטשניער	t͡ʃ ɛ t͡ʃ ɲ ə r
טשעטשניערין	t͡ʃ ɛ t͡ʃ n j ə r ɪ n
טשעטשניערין	t͡ʃ ɛ t͡ʃ ɲ ə r ɪ n
טשעטשעניש	t͡ʃ ɛ t͡ʃ ə n ɪ ʃ
טשעך	t͡ʃ ɛ x
טשעכײַ	t͡ʃ ɛ x a ɪ̯
טשעלאָ	t͡ʃ ɛ ɫ ɔ
טשערנאָבל	t͡ʃ ɛ r n ɔ b ɫ̩
טשערנאָוויץ	t͡ʃ ɛ r n ɔ v ɪ t͡s
טשערעפּאַכע	t͡ʃ ɛ ʁ ə p a χ ə
טשײַניק	t ʃ a ɪ̯ n ɪ k
טײַך	t a ɪ̯ χ
טײַכן	t a ɪ̯ χ n̩
טײַלאַנד	t a ɪ̯ l a n d
טײַס	t a ɪ̯ s
טײַפֿון	t a ɪ̯ f ʊ n
יאַגדע	j a ɡ d ə
יאַזדע	j a z d ə
יאַיִטשניצע	j a i t͡ʃ n ɪ t͡s ə
יאַיִטשניצע	j a ɪ t͡ʃ n ɪ t͡s ə
יאַכטבאַסיין	j a χ t b a s ɛ ɪ̯ n
יאַנואַר	j a n ʊ a ʁ
יאַפּאַן	j a p a n
יאַקאָש	j a k ɔ ʃ
יאַשטשערקע	j a ʃ t͡ʃ ə ʁ k ə
יאָגן	j aː ɡ ŋ̩
יאָגן	j u ɡ ŋ̩
יאָגן	j ɔ ɡ ŋ̩
יאָגן	j ʊ ɡ ŋ̩
יאָד	j ɔ d
יאָדלע	j ɔ d ɫ ə
יאָך	j ɔ χ
יאָר	j u r
יאָר	j uː r
יאָר	j ɔ r
יאָרצענדליק	j ɔ ʁ t͡s ɛ n d l ɪ k
יאָשקע	j ɔ ʃ k ə
ידיד	j ə d ɪ d
ידיעה	j ə d i ə
יהודה	j ə h ʊ d ə
יודע	j ʊ d ə
יויך	j ɔ ɪ̯ χ
יום	j ɔ m
יום־טובֿ	j ɔ n t ə f
יום־טובֿ	j ɔ n t ə v
יום־טובֿים	j ɔ n t ɔ ɪ̯ v ɪ m
יום־כּיפּור	j ɔ ŋ k ɪ p ə r
יונג	j ɪ ŋ ɡ
יונג	j ʊ ŋ ɡ
יונגערמאַן	j ʊ ŋ ɡ ə ʁ m a n
יונגערמאַנווײַז	j ʊ ŋ ɡ ə ʁ m a n v a ɪ̯ z
יונה	j e ɪ̯ n ə
יונה	j ɔ ɪ̯ n ə
יוסט	j ʊ s t
יוסי	j ɔ s i
יוסף	j ɔ s ə f
יוסף	j ɔ ɪ̯ s ə f
יושקע	j ʊ ʃ k ə
יושר	j ɔ j ʃ ɛ ʀ
יושר	j ɔ ə̯ ʃ ə ʀ
יזכּור	j ɨ z k ə ʁ
יזכּור	j ɪ z k ə ʁ
יזכּור־בוך	j ɪ z k ə ʁ b i χ
יזכּור־בוך	j ɪ z k ə ʁ b iː χ
יזכּור־בוך	j ɪ z k ə ʁ b ʊ χ
יחזקאל	j ə χ ɛ s k ɫ̩
יחידות	j ə χ i d ə s
יחסן	j a χ s n̩
יחסניש	j a χ s u n ɪ ʃ
יחסניש	j a χ s uː n ɪ ʃ
יחסניש	j a χ s ɔ n ɪ ʃ
ייִאוש	j ɪ j ə ʃ
ייִאוש	j ɪ ə ʃ
ייִד	i d
ייִד	j i d
ייִד	j iː t
ייִד	j ɪ d
ייִדיש	j ɪ d ɪ ʃ
ייִדיש־קינד	j ɪ d ɪ ʃ k ɪ n d
ייִדישע	j ɪ d ɪ ʃ ə
ייִדישע	ɪ d ɪ ʃ ə
ייִדישער	j ɪ d ɪ ʃ ə ʁ
ייִדישער	ɪ d ɪ ʃ ə ʁ
ייִדישקייט	j ɪ d ɪ ʃ k a ɪ̯ t
ייִחוס	j ɪ χ ə s
ייִנגל	j ɪ ŋ ɡ ɫ̩
ייִנגלווײַז	j ɪ ŋ ɡ ɫ̩ v a ɪ̯ z
ייִנגער	j ɪ ŋ ɡ ə ʁ
ייִנגער	ɪ ŋ ɡ ə ʁ
ים	j a m
ים־אָדלער	j a m ɔ d ɫ ə ʁ
ים־גרונט	j a m ɡ ʁ ʊ n t
ים־מיידל	j a m m e ɪ̯ d ɫ̩
ים־נאָדל	j a m n ɔ d ɫ̩
ים־פֿרוי	j a m f ʁ ɔ ɪ̯
ים־קו	j a m k ʊ
ים־ראַק	j a m ʁ a k
ימח־שמוניק	j ɪ m a χ ʃ m e ɪ n ɪ k
ימח־שמוניק	j ɪ m a χ ʃ m ɔ ɪ n ɪ k
יסוד	j ɜ s ɔ d
יסוד־שטיין	j ɜ s ɔ d ʃ t ɛ ɪ̯ n
יעגער	j e ɪ̯ ɡ ə ʁ
יעגער	j eː ɡ ə ʁ
יעגער	j i ɡ ə ʁ
יעגער	j ɛ ɡ ə ʁ
יעגערײַ	j ɛ ɡ ə r a ɪ̯
יעדעס	j ɛ d ə s
יעדער	j ɛ d ə ʁ
יעזוס	j ɛ z ʊ s
יעטווידער	j ɛ t v ɪ d ə ʁ
יעלניק	j ɛ l n ɪ k
יעלניק	j ɛ ʎ n ɪ k
יענס	j ɛ n s
יענע	j ɛ n ə
יענער	j ɛ n ə ʁ
יעצט	j ɛ t͡s t
יעקבֿ	j a ŋ k ə v
יערן	j e r n̩
יערן	j eː r n̩
יערן	j ɛ r n̩
יערן	j ɛː r n̩
יציאה	j ə t͡s i j ə
יציאה	j ə t͡s iː j ə
יציאה	j ə t͡s ɪ j ə
יצר	j a ɪ̯ t͡s ə ʁ
יצר	j e ɪ̯ t͡s ə ʁ
יצר	j ɛ ɪ̯ t͡s ə ʁ
יקרות	j a k r ə s
יקרותדיק	j a k r ə s d ɪ k
ירדן	j a ʁ d ə n
ירושה	j ə ʁ ʊ ʃ ə
ירושלים	j ə r ɪ ʃ ʊ ɫ a j ə m
ירושלים	j ə r ʊ ʃ ɔ ɫ a j ə m
ירשענען	j a r ʃ ɜ n ɜ n
ישׂראל	j ɨ s ʁ u ɫ
ישׂראל	j ɪ s ʁ uː ɫ
ישׂראל	j ɪ s ʁ ɔ ə ɫ
ישׂראלדיק	j i s ʁ ɔ ə l d ɪ k
ישׂראלדיקע	j i s ʁ ɔ ə l d ɪ k ə
ישו	j ɛ ɪ̯ ʃ ʊ
ישו	j ɪ ʃ ʊ
ישועה	j ɜ ʃ i ɜ
ישועה	j ɜ ʃ iː ɜ
ישועה	j ɜ ʃ ʊ ɜ
יײַכל	j a ɪ̯ χ ɫ̩
כּבֿוד	k ɔ v ə d
כּבֿוד	k ʊ v ə d
כּדי	k ə d ɛ ɪ̯
כּהונה	k ə h ɪ n ə
כּהונה	k ə h ʊ n ə
כּהונה	k ə ɨ n ə
כּהן	k ɔ ɪ̯ ə n
כּוונה	k a v uː n ə
כּוונה	k a v ɔ n ə
כּוונה	k ɔ v u n ə
כּוס	k ɔ s
כּופֿר־בעיקר	k e ɪ̯ f ə ʁ b ə ɪ k ə ʁ
כּופֿר־בעיקר	k ɔ ɪ̯ f ə ʁ b ə ɪ k ə ʁ
כּזבֿ	k e ɪ̯ z ɜ v
כּזבֿ	k i z ɜ v
כּזבֿ	k u z ɜ v
כּזבֿ	k uː z ɜ v
כּזבֿ	k ɔ z ɜ v
כּזבֿ	k ɛ z ɜ v
כּזבֿ־ושקר	k e ɪ̯ z ə v v ə ʃ e ɪ̯ k ə r
כּזבֿ־ושקר	k eː z ə v v ə ʃ eː k ə r
כּזבֿ־ושקר	k i z ə v v ə ʃ eː k ə r
כּזבֿ־ושקר	k u z ə v v ə ʃ eː k ə r
כּזבֿ־ושקר	k uː z ə v v ə ʃ e ɪ̯ k ə r
כּזבֿ־ושקר	k uː z ə v v ə ʃ eː k ə r
כּזבֿ־ושקר	k ɔ z ə v v ə ʃ ɛ k ə r
כּזבֿ־ושקר	k ɛ z ə v v ə ʃ ɛ k ə r
כּזבֿ־ושקרדיק	k ɔ z ə v v ə ʃ ɛ k ə r d ɪ k
כּזבֿן	k a z v n̩
כּישוף	k ɪ ʃ ə f
כּיתּה	k ɪ t ə
כּיתּות	k ɪ t ə s
כּל־זמן	k ɔ l z m a n
כּל־ימיו	k ɔ l j uː m ɔ f
כּל־ימיו	k ɔ l j uː m ə f
כּל־ימיו	k ɔ l j ɔ m ɔ v
כּל־ימיו	k ɔ l j ɔ m ə v
כּלבֿ	k e ɪ̯ ɫ ə v
כּלבֿ	k ɛ ɫ ə v
כּלבֿטע	k ɫ a f t ə
כּלה	k a ɫ ə
כּלערליי	k ɔ l ə ʁ l a ɪ̯
כּלערליי	k ɔ l ə ʁ l e ɪ̯
כּלערליי	k ɔ l ə ʁ l ɛ ɪ̯
כּמעט	k ɪ m a t
כּסדר	k ə s ɛ ɪ̯ d ə ʁ
כּסדרדיק	k ə s ɛ ɪ̯ d ə ʁ d ɪ k
כּסלו	k ɪ s l ə v
כּעסן	k a s n̩
כּעסן	k a ɪ̯ s n̩
כּעסן	k a ɪ̯ ə s n̩
כּעסן	k aː s n̩
כּפּרה	k a p ɔ ʁ ə
כּפּרה־הינדל	k a p u ʁ ə h ɨ n d l̩
כּפּרה־הינדל	k a p uː ʁ ə h ɪ n d l̩
כּפּרה־הינדל	k a p ɔ ʁ ə h ɪ n d l̩
כּפֿלען	k a ɪ̯ f l ə n
כּפֿלען	k e ɪ̯ f l ə n
כּפֿלען	k ɛ ɪ̯ f l ə n
כּקריעת־ים־סוף	k ə k ʁ ɪ j ə s j a m s ʊ f
כּשר	k u ʃ ə ʁ
כּשר	k uː ʃ ə ʁ
כּשר	k ɔ ʃ ə ʁ
כּשרות	k a ʃ ʁ ə s
כּתבֿ	k s a v
כּתובֿים	k s i v ə m
כּתובֿים	k s iː v ə m
כּתובֿים	k s ʊ v ə m
כּתובה	k s ʊ b ə
כאַלאַפּעניאָ	χ a ɫ a p ɛ n j ɔ
כאַלאַפּעניאָ	χ a ɫ a p ɛ ɲ ɔ
כאַלט	χ a ɫ t
כאַפּן	χ a p n̩
כאַרקאָוו	χ a r k ɔ v
כאָטש	χ ɔ t͡ʃ
כוואַליע	χ v a ʎ ə
כוואַליעסווײַז	χ v a ʎ ə s v a ɪ̯ z
כומוס	χ ʊ m ʊ s
כטשוף	χ t͡ʃ ʊ f
כיבע	χ ɪ b ə
כינע	χ ɪ n ə
כינעזיש	x ɪ n ɛ z ɪ ʃ
כינעזישער	x ɪ n ɛ z ɪ ʃ ə ʁ
כלאָר	χ l ɔ ʁ
כלעבן	x l e ɪ̯ b n̩
כלעבן	x l ɛ b n
כמורנע	χ m ʊ ʁ n ə
כעמיע	χ ɛ m j ə
כעמיקאַליע	χ ɛ m ɪ k a ʎ ə
כראָם	χ ʁ ɔ m
כראָמיום	χ ʁ ɔ m j ʊ m
כראָניק	χ r ɔ n ɪ k
כרושטש	χ ʁ ʊ ʃ t͡ʃ
כרעמזל	χ ə ʁ ɛ m z ɫ̩
כרעמזל	χ ʁ ɛ m z ɫ̩
כרעמזלעך	χ ʁ ɛ m z ɫ ə χ
כ׳האָב	χ ɔ b
לאַבירינט	ɫ a b ɪ ʁ ɪ n t
לאַגראַן	ɫ a ɡ r a n
לאַדינאָ	ɫ a d ɪ n ɔ
לאַווינע	l a v i n ɛ
לאַווע	l a v ə
לאַטקע	ɫ a t k ə
לאַטקעס	ɫ a t k ə s
לאַטײַן	l a t a ɪ̯ n
לאַכט	ɫ a χ t
לאַכן	ɫ a χ n̩
לאַמאַ	ɫ a m a
לאַנג	ɫ a ŋ
לאַנג	ɫ a ŋ ɡ
לאַנג	ɫ a ɪ̯ ŋ
לאַנג	ɫ a ɪ̯ ŋ ɡ
לאַנדן	ɫ a n d n̩
לאַנדשאַפֿט	ɫ a n d ʃ a f t
לאַפּסערדאַק	ɫ a p s ə r d aː k
לאָזט	ɫ ɔ s t
לאָזן	ɫ ɔ n
לאָזן	ɫ ɔ z n̩
לאָזסט	ɫ ɔ s t
לאָך	ɫ ɔ χ
לאָמיך	ɫ ɔ m ɪ χ
לאָמיר	ɫ ɔ m ɪ ʁ
לאָנטש	ɫ ɔ n t͡ʃ
לאָצמאַן	ɫ ɔ t͡s m a n
לאָקאַל	ɫ ɔ k a ɫ
לאָקש	ɫ ɔ k ʃ
לאָרבערבלאַט	ɫ ɔ r b ə r b ɫ a t
לא־יוצלח	l e j ʊ t͡s l ə χ
לא־יוצלח	l e ɪ̯ j ʊ t͡s l ə χ
לא־יוצלח	l ɔ j ɨ t͡s l ə χ
לא־יוצלח	l ɔ j ɪ t͡s l ə χ
לא־יוצלח	l ɔ j ʊ t͡s l ə χ
לא־יוצלח	l ɔ ɪ̯ j ɨ t͡s l ə χ
לא־יוצלח	l ɔ ɪ̯ j ɪ t͡s l ə χ
לא־יוצלח	l ɔ ɪ̯ j ʊ t͡s l ə χ
לבֿנה	l ə v u n ə
לבֿנה	l ə v uː n ə
לבֿנה	l ə v ɔ n ə
לבֿנהדיק	l ə v u n ə d ɪ k
לבֿנהדיק	l ə v uː n ə d ɪ k
לבֿנהדיק	l ə v ɔ n ə d ɪ k
לבֿנון	ɫ ə v ɔ n ə n
להבֿדיל	ɫ ə h a v d ɫ̩
להבֿדיל	ɫ ɛ h a v d ɫ̩
להוט	l u h ə t
להוט	l u ə t
להוט	l uː h ə t
להוט	l uː ə t
להוט	l ɔ h ə t
להוט	l ɔ ə t
להיפּוך	l ə h ɛ ɪ̯ p ə x
לוגאַנסק	ɫ ʊ ɡ a n s k
לוויה	ɫ ə v a j ə
לוויה	ɫ ə v a ɪ̯ ə
לוח	ɫ ʊ ə χ
לויט	ɫ ɔ ɪ̯ t
לוין	ɫ ɔ ɪ̯ n
לוינע	ɫ ɔ ɪ̯ n ə
לויף	ɫ ɔ ɪ̯ f
לויפֿן	ɫ e ɪ̯ f n̩
לויפֿן	ɫ ɔ ɪ̯ f n̩
לולבֿ	ɫ ʊ ɫ ə v
לולבֿים	ɫ ʊ ɫ ɔ v ə m
לונג	ɫ ʊ ŋ ɡ
לונג	ʎ ɪ ŋ ɡ
לופֿט	ɫ ʊ f t
לופֿטמענטש	ɫ ʊ f t m ɛ n t͡ʃ
לחיים	ɫ ə χ a ɪ̯ ə m
לחלוטין	l a χ l ɨ t n̩
לחלוטין	l a χ l ɪ t n̩
לחלוטין	l a χ l ʊ t n̩
לטובֿת	l ə t e ɪ̯ v ə s
לטובֿת	l ə t ɔ ɪ̯ v ə s
ליאָדע	ʎ ɔ d ə
ליב	ɫ ɪ b
ליבן	ʎ i b n̩
ליבער	l ɪ b ə r
ליבערשט	ʎ ɪ b ə ʁ ʃ t
ליגט	ʎ ɪ k t
ליד	l iː t
ליד	l ɪ d
לידער	ʎ ɪ d ə ʁ
ליובאָווניק	ʎ ʊ b ɔ f n ɪ k
ליובאָווניק	ʎ ʊ b ɔ v n ɪ k
ליוורעע	ʎ ɪ v r ɛ ə
ליוורעע	ʎ ɪ v r ɛ ɛ
ליטווינער	ʎ ɪ t v ɪ n ə ʁ
ליטוויש	ɫ ɪ t v ɪ ʃ
ליטיום	l ɪ t j ʊ m
לייב	ɫ e ɪ̯ b
לייב־מוראַשקע	ɫ e ɪ̯ b m ʊ ʁ a ʃ k ə
לייבן	ɫ ɛ ɪ̯ b n̩
לייג	ɫ ɛ ɪ̯ ɡ
לייגט	ɫ ɛ ɪ̯ k t
לייגן	ɫ ɛ ɪ̯ ɡ n̩
ליידיק	ɫ ɛ ɪ̯ d ɪ k
ליידיקן	ɫ ɛ ɪ̯ d ɪ k n̩
ליידער	ɫ ɛ ɪ̯ d ə ʁ
לייוואָרט	ɫ ɛ ɪ̯ v ɔ ʁ t
לייזונג	ɫ ɛ ɪ̯ z ʊ ŋ ɡ
לייזונגען	ɫ ɛ ɪ̯ z ʊ ŋ ɡ ə n
לייטער	ɫ ɛ ɪ̯ t ə ʁ
לייטערס	ɫ ɛ ɪ̯ t ə ʁ s
ליים	ɫ a ɪ̯ m
ליים	ɫ e ɪ̯ m
ליים	ɫ ɛ ɪ̯ m
ליימען	ɫ ɛ ɪ̯ m ə n
לייען	ɫ ɛ ɪ̯ ə n
לייענען	ɫ a ɪ̯ n ə n
לייענען	ɫ a ɪ̯ ə n ə n
לייענען	ɫ ɛ ɪ̯ n ə n
לייענען	ɫ ɛ ɪ̯ ə n ə n
ליכט	ʎ ɪ χ t
ליכטנשטיין	ɫ ɪ χ t n̩ ʃ t ɛ ɪ̯ n
לילית	ɫ ɪ ɫ ə s
לילית	ɫ ɪ ɫ ɪ s
לימענאַד	ʎ ɪ m ə n a d
לימענע	l ɪ m ə n ə
לינאָטיפּ	l ɪ n ɔ t ɪ p
לינק	ɫ ɪ ŋ k
לינקאַטש	ɫ ɪ ŋ k a t͡ʃ
לינקס	ɫ ɪ ŋ k s
ליסינע	l ɪ s ə n ə
ליסינע	l ɪ s ɪ n ə
ליפֿט	ʎ ɪ f t
ליפֿטן	ʎ ɪ f t n̩
ליקער	ʎ ɪ k ɛ r
לכּבֿוד	ɫ ə k ɔ v ə d
למען־השם	ɫ ə m a n a ʃ ɛ m
למען־השם	ɫ ə m a n h a ʃ ɛ m
לסוף	ɫ ə s ɔ f
לעבן	ɫ ɛ b n̩
לעבן־געבליבענער	ɫ ɛ b n̩ ɡ ɛ b ʎ ɪ b ə n ə ʁ
לעבעדיק	l e j b ə d ɪ k
לעגיאָן	ɫ ə ɡ j ɔ n
לעדל	ɫ ɛ d ɫ̩
לעזביאַנקע	l ɛ z b j a n k ə
לעטיש	ɫ ɛ t ɪ ʃ
לעטלאַנד	ɫ ɛ t ɫ a n d
לעכערן	l ɛ χ ə ʁ n̩
לעמבערג	l ɛ m b ə r ɡ
לעמור	ʎ ə m ʊ ʁ
לעמינג	ʎ ɛ m ɪ ŋ ɡ
לעמפּערט	ʎ ɛ m p ə ʁ t
לענג	ɫ ɛ ŋ ɡ
לענגאויס	l ɛ n ɡ ɔ ɪ̯ s
לענגאויס	l ɛ n ɡ ɔ ʊ̯ s
לעסביאַניש	l ɛ s b j a n ɨ ʃ
לעסביאַניש	l ɛ s b j a n ɪ ʃ
לעסטערן	ɫ ɛ s t ə ʁ n̩
לעפּטאָפּ	ɫ ɛ p t ɔ p
לעפּיש	ɫ ɛ p ɪ ʃ
לעפֿל	ɫ ɛ f ɫ̩
לעקעך	ɫ ɛ k ə χ
לערן	ɫ ɛ ʁ n̩
לערנט	ɫ ɛ ʁ n t
לערנסט	ɫ ɛ ʁ n̩ s t
לערנען	ɫ ɛ ʁ n ə n
